ContributorGroup,ContributionAmount
Corporate,500.0
Corporate,600.0
Corporate,300.0
Corporate,500.0
Corporate,2000.0
Corporate,1000.0
Corporate,5000.0
Corporate,5000.0
Corporate,3000.0
Corporate,1500.0
Corporate,1000.0
Corporate,1000.0
Corporate,5200.0
Corporate,5000.0
Corporate,1000.0
Corporate,1000.0
Corporate,1000.0
Corporate,1000.0
Corporate,1000.0
Corporate,1000.0
Corporate,500.0
Corporate,2500.0
Corporate,250.0
Corporate,500.0
Corporate,500.0
Corporate,1000.0
Corporate,2000.0
Interest Group,0.32
Interest Group,21.01
Interest Group,19.15
Interest Group,22.4
Interest Group,14.43
Interest Group,9.46
Interest Group,1.21
Interest Group,2.38
Interest Group,3.3
Unknown,500.0
Unknown,600.0
Unknown,1000.0
Individual - Small,250.0
Individual - Small,500.0
Individual - Small,250.0
Individual - Small,250.0
Individual - Small,100.0
Individual - Small,500.0
Individual - Small,200.0
Individual - Small,300.0
Individual - Small,1000.0
Individual - Small,1000.0
Individual - Small,1000.0
Individual - Small,500.0
Individual - Small,250.0
Individual - Small,1000.0
Individual - Large,10000.0
Individual - Small,-10000.0
Individual - Large,5200.0
Individual - Small,250.0
Individual - Large,5000.0
Individual - Small,150.0
Individual - Small,2500.0
Individual - Small,50.0
Individual - Small,250.0
Individual - Small,250.0
Individual - Small,250.0
Individual - Small,100.0
Individual - Small,150.0
Individual - Small,20.0
Individual - Small,300.0
Individual - Small,100.0
Individual - Small,500.0
Individual - Small,1000.0
Individual - Small,250.0
Individual - Small,500.0
Individual - Small,1050.0
Individual - Small,250.0
Individual - Small,100.0
Individual - Small,500.0
Individual - Small,500.0
Individual - Small,250.0
Individual - Small,2000.0
Individual - Small,500.0
Individual - Small,250.0
Individual - Small,500.0
Individual - Small,250.0
Individual - Small,250.0
Individual - Small,250.0
Individual - Small,250.0
Individual - Small,1000.0
Individual - Small,1000.0
Individual - Small,1000.0
Individual - Small,500.0
Individual - Small,250.0
Individual - Small,50.0
Individual - Small,500.0
Individual - Small,250.0
Individual - Small,150.0
Individual - Small,500.0
Individual - Small,150.0
Individual - Small,100.0
Individual - Small,250.0
Individual - Small,200.0
Individual - Small,250.0
Individual - Small,250.0
Individual - Small,25.0
Individual - Small,100.0
Individual - Small,250.0
Individual - Small,100.0
Individual - Small,100.0
Individual - Small,25.0
Individual - Small,20.0
Individual - Small,250.0
Individual - Small,250.0
Individual - Small,250.0
Individual - Small,5.0
Individual - Small,250.0
Individual - Small,250.0
Individual - Small,50.0
Individual - Small,2600.0
Individual - Small,500.0
Individual - Small,250.0
Individual - Small,-500.0
Individual - Small,500.0
Individual - Small,1000.0
Individual - Small,50.0
Individual - Small,250.0
Individual - Small,500.0
Individual - Small,1000.0
Individual - Small,1000.0
Individual - Small,300.0
Individual - Small,100.0
Individual - Small,250.0
Individual - Small,10.0
Individual - Small,350.0
Individual - Small,500.0
Individual - Large,5000.0
Individual - Small,400.0
Individual - Small,126.0
Individual - Small,90.0
Individual - Small,54.0
Individual - Small,54.0
Individual - Small,250.0
Individual - Small,500.0
Individual - Small,500.0
Individual - Small,500.0
Individual - Small,750.0
Individual - Small,750.0
Individual - Small,1000.0
Individual - Small,1000.0
Individual - Small,1000.0
Individual - Small,1000.0
Individual - Small,250.0
Individual - Small,250.0
Individual - Small,250.0
Individual - Small,250.0
Individual - Small,250.0
Individual - Small,250.0
Individual - Small,250.0
Individual - Small,250.0
Individual - Small,250.0
Individual - Small,250.0
Individual - Small,250.0
Individual - Small,250.0
Individual - Small,250.0
Individual - Small,250.0
Individual - Small,250.0
Individual - Small,250.0
Individual - Small,250.0
Individual - Small,250.0
Individual - Small,250.0
Individual - Small,250.0
Individual - Small,250.0
Individual - Small,500.0
Individual - Small,500.0
Individual - Small,300.0
Individual - Small,50.0
Individual - Small,350.0
Individual - Small,250.0
Individual - Small,20.0
Individual - Small,200.0
Individual - Small,500.0
Individual - Small,2000.0
Individual - Small,1000.0
Individual - Small,1000.0
Individual - Small,250.0
Individual - Small,200.0
Individual - Small,1000.0
Individual - Small,250.0
Individual - Small,100.0
Individual - Small,100.0
Individual - Small,500.0
Individual - Small,250.0
Individual - Small,250.0
Individual - Small,500.0
Individual - Small,150.0
Individual - Small,100.0
Individual - Small,500.0
Individual - Small,250.0
Individual - Small,300.0
Individual - Small,300.0
Individual - Small,500.0
