ContributorGroup,ContributionAmount
Corporate,1000.0
Corporate,1000.0
Corporate,250.0
Corporate,300.0
Corporate,500.0
Corporate,600.0
Corporate,1000.0
Corporate,1000.0
Corporate,1000.0
Corporate,1000.0
Corporate,1000.0
Corporate,1000.0
Corporate,1000.0
Corporate,1000.0
Corporate,1000.0
Corporate,1000.0
Corporate,1000.0
Corporate,1000.0
Corporate,1000.0
Corporate,1000.0
Corporate,1000.0
Corporate,1000.0
Corporate,1000.0
Corporate,300.0
Corporate,500.0
Corporate,500.0
Corporate,500.0
Corporate,500.0
Corporate,2000.0
Corporate,1000.0
Corporate,2500.0
Corporate,2500.0
Corporate,300.0
Corporate,2700.0
Corporate,500.0
Corporate,3000.0
Corporate,3000.0
Corporate,1000.0
Corporate,4900.0
Corporate,5000.0
Corporate,5000.0
Corporate,5000.0
Corporate,5200.0
Corporate,5200.0
Corporate,5200.0
Corporate,3500.0
Corporate,250.0
Corporate,250.0
Corporate,250.0
Corporate,250.0
Corporate,350.0
Corporate,360.0
Corporate,400.0
Corporate,500.0
Corporate,500.0
Corporate,500.0
Corporate,500.0
Corporate,500.0
Corporate,500.0
Corporate,700.0
Corporate,1000.0
Corporate,1000.0
Corporate,1000.0
Corporate,1000.0
Corporate,1000.0
Corporate,1000.0
Corporate,1000.0
Corporate,1000.0
Corporate,1000.0
Corporate,1000.0
Corporate,1000.0
Corporate,1000.0
Corporate,1000.0
Corporate,1000.0
Corporate,1500.0
Corporate,500.0
Corporate,1000.0
Corporate,1000.0
Corporate,1000.0
Corporate,2000.0
Corporate,2000.0
Corporate,2000.0
Corporate,2000.0
Corporate,250.0
Corporate,2500.0
Corporate,2500.0
Corporate,2500.0
Corporate,2500.0
Corporate,2500.0
Corporate,1500.0
Corporate,2500.0
Corporate,2500.0
Corporate,2500.0
Corporate,2600.0
Corporate,3000.0
Corporate,2000.0
Corporate,3000.0
Corporate,1000.0
Corporate,2500.0
Corporate,4000.0
Corporate,0.0
Corporate,4000.0
Corporate,4000.0
Corporate,2500.0
Corporate,5000.0
Corporate,5000.0
Corporate,5200.0
Corporate,5200.0
Corporate,5200.0
Corporate,2600.0
Corporate,3000.0
Corporate,2000.0
Corporate,2000.0
