ContributorGroup,ContributionAmount
Individual - Small,500.0
Individual - Small,1000.0
Individual - Small,500.0
Individual - Small,1000.0
Individual - Small,250.0
Individual - Small,1000.0
Individual - Small,1000.0
Individual - Small,250.0
Individual - Small,500.0
Individual - Small,1000.0
Individual - Small,1000.0
Individual - Small,1000.0
Individual - Small,35.0
Individual - Small,500.0
Individual - Small,500.0
Individual - Small,1000.0
Individual - Small,250.0
Individual - Small,250.0
Individual - Small,500.0
Individual - Small,1000.0
Individual - Small,500.0
Individual - Small,500.0
Individual - Small,250.0
Individual - Small,1000.0
Individual - Small,250.0
Individual - Small,250.0
Individual - Small,250.0
Individual - Small,500.0
Individual - Small,1000.0
Individual - Small,250.0
Individual - Small,1500.0
Individual - Small,2500.0
Individual - Large,5200.0
Individual - Small,250.0
Individual - Large,5200.0
Individual - Small,1000.0
Individual - Small,250.0
Individual - Small,250.0
Individual - Small,500.0
Individual - Small,1000.0
Individual - Small,250.0
Individual - Small,2500.0
Individual - Small,2000.0
Individual - Small,2500.0
Individual - Small,1000.0
Individual - Small,3250.92
Individual - Large,12250.0
Individual - Small,2700.0
Individual - Small,500.0
Individual - Small,250.0
Individual - Small,250.0
Individual - Small,300.0
Individual - Small,1000.0
Individual - Small,500.0
Individual - Small,500.0
Individual - Small,750.0
Individual - Small,250.0
Individual - Small,250.0
Individual - Large,5200.0
Individual - Small,50.0
Individual - Small,50.0
Individual - Small,1500.0
Individual - Small,500.0
Individual - Small,1000.0
Individual - Small,200.0
Individual - Small,2500.0
Individual - Small,2500.0
Individual - Small,250.0
Individual - Small,1200.0
Individual - Small,2500.0
Individual - Small,1200.0
Individual - Small,500.0
Individual - Small,1200.0
Individual - Small,1200.0
Individual - Small,1000.0
Individual - Small,250.0
Individual - Small,500.0
Individual - Small,250.0
Individual - Small,500.0
Individual - Small,1000.0
Individual - Small,1000.0
Individual - Small,250.0
Individual - Small,325.0
Individual - Small,570.0
Individual - Small,500.0
Individual - Small,500.0
Individual - Small,250.0
Individual - Small,2000.0
Individual - Small,250.0
Individual - Small,500.0
Individual - Small,1000.0
Individual - Small,250.0
Individual - Small,500.0
Individual - Small,1000.0
Individual - Small,500.0
Individual - Small,3000.0
Individual - Small,250.0
Individual - Small,1000.0
Individual - Small,2500.0
Individual - Small,500.0
Individual - Small,1000.0
Individual - Small,1000.0
Individual - Small,100.0
Individual - Small,250.0
Individual - Small,1000.0
Individual - Small,500.0
Individual - Small,1000.0
Individual - Small,1000.0
Individual - Small,250.0
Individual - Large,5200.0
Individual - Small,250.0
Individual - Small,250.0
Individual - Small,250.0
Individual - Small,500.0
Individual - Small,2000.0
Individual - Small,1000.0
Individual - Small,250.0
Individual - Small,1000.0
Individual - Large,5000.0
Individual - Small,250.0
Individual - Small,1000.0
Individual - Small,500.0
Individual - Small,1000.0
Individual - Small,500.0
Individual - Small,1000.0
Individual - Small,500.0
Individual - Small,2500.0
Individual - Small,1000.0
Individual - Small,1000.0
Individual - Small,250.0
Individual - Small,500.0
Individual - Large,5200.0
Individual - Small,125.0
Individual - Small,100.0
Individual - Small,1000.0
Individual - Small,500.0
Individual - Small,500.0
Individual - Small,250.0
Individual - Small,250.0
Individual - Small,1000.0
Individual - Small,250.0
Individual - Large,5000.0
Individual - Small,250.0
Individual - Small,500.0
Individual - Small,250.0
Individual - Small,250.0
Individual - Small,500.0
Individual - Small,1000.0
Individual - Small,500.0
Individual - Small,1000.0
Individual - Small,500.0
Individual - Small,2100.0
Individual - Small,250.0
Individual - Small,800.0
Individual - Small,1000.0
Individual - Small,500.0
Individual - Small,500.0
Individual - Small,500.0
Individual - Small,1000.0
Individual - Small,250.0
Individual - Small,1000.0
Individual - Small,1000.0
Individual - Small,1000.0
Individual - Small,1000.0
Individual - Small,250.0
Individual - Small,500.0
Individual - Small,500.0
Individual - Small,1000.0
Individual - Small,250.0
Individual - Large,5200.0
Individual - Small,250.0
Individual - Large,5000.0
Individual - Small,500.0
Individual - Small,1000.0
Individual - Small,250.0
Individual - Large,5200.0
Individual - Small,500.0
Individual - Small,500.0
Individual - Small,250.0
Individual - Small,250.0
Individual - Small,300.0
Individual - Small,1000.0
Individual - Small,3000.0
Individual - Small,250.0
Individual - Small,1000.0
Individual - Small,500.0
Individual - Small,250.0
Individual - Small,500.0
Individual - Small,1000.0
Individual - Small,250.0
Individual - Small,1000.0
Individual - Small,1000.0
Individual - Small,1000.0
Individual - Small,500.0
Individual - Small,280.0
Individual - Small,250.0
Individual - Small,1000.0
Individual - Small,250.0
Individual - Small,2000.0
Individual - Small,250.0
Individual - Small,500.0
Individual - Small,50.0
Individual - Small,500.0
Individual - Small,250.0
Individual - Small,2000.0
Individual - Small,660.0
Individual - Small,250.0
Individual - Small,500.0
Individual - Small,250.0
Individual - Small,500.0
Individual - Small,500.0
Individual - Small,250.0
Individual - Small,250.0
Individual - Small,250.0
Individual - Small,200.0
Individual - Small,1000.0
Individual - Small,250.0
Individual - Small,1000.0
Individual - Small,500.0
Individual - Small,500.0
Individual - Small,3500.0
Individual - Small,3500.0
Individual - Small,1000.0
Individual - Small,500.0
Individual - Small,1200.0
Individual - Small,500.0
Individual - Small,500.0
Individual - Small,250.0
Individual - Small,250.0
Individual - Large,5200.0
Individual - Small,2000.0
Individual - Small,500.0
Individual - Small,1435.0
Individual - Small,1000.0
Individual - Small,500.0
Individual - Small,250.0
Individual - Small,500.0
Individual - Small,500.0
Individual - Small,1000.0
Individual - Small,250.0
Individual - Small,250.0
Individual - Small,500.0
Individual - Small,250.0
Individual - Small,250.0
Individual - Small,1000.0
Individual - Small,250.0
Individual - Small,500.0
Individual - Small,250.0
Individual - Small,1000.0
Individual - Small,250.0
Individual - Small,1000.0
Individual - Small,250.0
Individual - Small,250.0
Individual - Small,250.0
Individual - Small,250.0
Individual - Small,250.0
Individual - Small,500.0
Individual - Small,250.0
Individual - Small,1000.0
Individual - Small,3500.0
Individual - Small,250.0
Individual - Small,500.0
Individual - Small,250.0
Individual - Small,250.0
Individual - Small,250.0
Individual - Small,400.0
Individual - Small,20.0
Individual - Small,1000.0
Individual - Small,500.0
Individual - Small,250.0
Individual - Small,1000.0
Individual - Small,2500.0
Individual - Small,2400.0
Individual - Small,500.0
Individual - Small,250.0
Individual - Small,250.0
Individual - Small,500.0
Individual - Small,1000.0
Individual - Small,500.0
Individual - Small,500.0
Individual - Small,500.0
Individual - Small,1000.0
Individual - Small,1000.0
Individual - Small,500.0
Individual - Small,250.0
Individual - Small,280.0
Individual - Large,5000.0
Individual - Small,500.0
Individual - Small,3000.0
Individual - Small,596.0
Individual - Small,1000.0
Individual - Small,2000.0
Individual - Small,800.0
Individual - Small,250.0
Individual - Large,5200.0
Individual - Small,500.0
Individual - Large,5200.0
Individual - Small,250.0
Individual - Small,250.0
Individual - Small,100.0
Individual - Small,25.0
Individual - Small,25.0
Individual - Small,100.0
Individual - Small,500.0
Individual - Small,500.0
Individual - Small,500.0
Individual - Small,500.0
Individual - Small,1000.0
Individual - Small,250.0
Individual - Small,500.0
