"Contract #","Bid Solicitation #","Description","Vendor","Type Code","Dollars Spent to Date","Organization","Status","Begin Date","End Date"
"89781","","T1708 - STATE DIRECTORY OF NEW HIRES AND        NATIONAL MEDICAL SUPPORT NOTICE PORTALS             ","Stellarware ","RFP/SC-SBE","$5,883,843.12","Division of Purchase and Property ","3PS - Sent","08/17/2015","08/16/2025"
"89453","","T2836 - PRINTING: PRODUCTION PRINT SERVICES     (NJOIT)                          ","RR Donnelley","RFP","$44,886,393.98","Division of Purchase and Property ","3PS - Sent","07/13/2015","11/09/2025"
"89319","","T2555 - INTERNET-BASED PATIENT SAFETY ADVERSE   EVENT REPORTING SYSTEM - DHSS                       ","Mathtech","RFP/SC-SBE","$1,341,868.71","Division of Purchase and Property ","3PS - Sent","06/30/2015","12/29/2025"
"89306","","T2108 - MAINT. & REPAIR FOR HEAVY DUTY VEHICLES (CLASS 5 OR HIGHER, OVER 15,000 LB GVWR)            ","Tony Sanchez Ltd","RFP/NJCOOP","$0.00","Division of Purchase and Property ","3PS - Sent","07/21/2015","11/20/2025"
"89303","","T2108 - MAINT. & REPAIR FOR HEAVY DUTY VEHICLES (CLASS 5 OR HIGHER, OVER 15,000 LB GVWR)            ","M. W. TRAILER REPAIR INC","RFP/NJCOOP","$2,367,027.19","Division of Purchase and Property ","3PS - Sent","07/21/2015","11/20/2025"
"89300","","T2108 - MAINT. & REPAIR FOR HEAVY DUTY VEHICLES (CLASS 5 OR HIGHER, OVER 15,000 LB GVWR)            ","Hainesport Enterprises Inc","RFP/NJCOOP","$595,896.12","Division of Purchase and Property ","3PS - Sent","07/21/2015","11/20/2025"
"89298","","T2108 - MAINT. & REPAIR FOR HEAVY DUTY VEHICLES (CLASS 5 OR HIGHER, OVER 15,000 LB GVWR)            ","NORCIA CORP","RFP/NJCOOP","$107,980.00","Division of Purchase and Property ","3PS - Sent","07/21/2015","11/20/2025"
"89295","","T2108 - MAINT. & REPAIR FOR HEAVY DUTY VEHICLES (CLASS 5 OR HIGHER, OVER 15,000 LB GVWR)            ","BJ & M Auto Inc.","RFP/NJCOOP","$6,698.39","Division of Purchase and Property ","3PS - Sent","07/21/2015","11/20/2025"
"89294","","T2108 - MAINT. & REPAIR FOR HEAVY DUTY VEHICLES (CLASS 5 OR HIGHER, OVER 15,000 LB GVWR)            ","JOES AUTO SERVICE","RFP/NJCOOP","$231,335.96","Division of Purchase and Property ","3PS - Sent","07/21/2015","11/20/2025"
"89291","","T2108 - MAINT. & REPAIR FOR HEAVY DUTY VEHICLES (CLASS 5 OR HIGHER, OVER 15,000 LB GVWR)            ","R & H Spring & Truck Repair Inc.","RFP/NJCOOP","$13,003.20","Division of Purchase and Property ","3PS - Sent","07/21/2015","11/20/2025"
"89290","","T2108 - MAINT. & REPAIR FOR HEAVY DUTY VEHICLES (CLASS 5 OR HIGHER, OVER 15,000 LB GVWR)            ","SANITATION TRUCK REPAIR INC","RFP/NJCOOP","$131,616.20","Division of Purchase and Property ","3PS - Sent","07/21/2015","11/20/2025"
"89289","","T2108 - MAINT. & REPAIR FOR HEAVY DUTY VEHICLES (CLASS 5 OR HIGHER, OVER 15,000 LB GVWR)            ","Delaware Valley Truck Service","","$0.00","Division of Purchase and Property ","3PS - Sent","07/21/2015","11/20/2025"
"89288","","T2108 - MAINT. & REPAIR FOR HEAVY DUTY VEHICLES (CLASS 5 OR HIGHER, OVER 15,000 LB GVWR)            ","N E Auto & Truck Parts","RFP/NJCOOP","$0.00","Division of Purchase and Property ","3PS - Sent","07/21/2015","11/20/2025"
"89287","","T2108 - MAINT. & REPAIR FOR HEAVY DUTY VEHICLES (CLASS 5 OR HIGHER, OVER 15,000 LB GVWR)            ","Circle Automotive Inc.","RFP/NJCOOP","$118,372.33","Division of Purchase and Property ","3PS - Sent","07/21/2015","11/20/2025"
"89286","","T2108 - MAINT. & REPAIR FOR HEAVY DUTY VEHICLES (CLASS 5 OR HIGHER, OVER 15,000 LB GVWR)            ","Buds Auto & Truck Repair Inc.","RFP/NJCOOP","$243,776.00","Division of Purchase and Property ","3PS - Sent","07/21/2015","11/20/2025"
"89283","","T2108 - MAINT. & REPAIR FOR HEAVY DUTY VEHICLES (CLASS 5 OR HIGHER, OVER 15,000 LB GVWR)            ","GENERAL SPRING AND ALIGNMENT SERVICE INC","RFP/NJCOOP","$152,961.99","Division of Purchase and Property ","3PS - Sent","07/21/2015","11/20/2025"
