ContributorGroup,ContributionAmount
Corporate,1000.0
Corporate,500.0
Corporate,500.0
Corporate,1000.0
Corporate,125.0
Corporate,1500.0
Corporate,150.0
Corporate,500.0
Corporate,2500.0
Corporate,2500.0
Corporate,750.0
Corporate,2500.0
Corporate,1000.0
Corporate,5000.0
Corporate,250.0
Corporate,5000.0
Corporate,2500.0
Corporate,1000.0
Corporate,1000.0
Corporate,500.0
Corporate,1500.0
Corporate,2000.0
Corporate,2500.0
Corporate,2500.0
Corporate,2500.0
Corporate,2500.0
Corporate,2500.0
Corporate,2500.0
Corporate,2500.0
Corporate,2500.0
Corporate,2500.0
Corporate,5200.0
Corporate,5200.0
Corporate,300.0
Corporate,300.0
Corporate,300.0
Corporate,250.0
Corporate,250.0
Corporate,250.0
Corporate,250.0
Corporate,100.0
Corporate,2500.0
Corporate,1000.0
Corporate,1000.0
Corporate,5000.0
Corporate,1000.0
Corporate,500.0
Corporate,500.0
Corporate,300.0
Corporate,1000.0
Corporate,1000.0
Corporate,1000.0
Corporate,1000.0
Corporate,1000.0
Corporate,500.0
Corporate,1000.0
Corporate,1500.0
Corporate,375.0
Corporate,2600.0
Corporate,5200.0
Corporate,5200.0
Corporate,5200.0
Corporate,-2500.0
Corporate,125.0
Corporate,250.0
Corporate,125.0
Corporate,125.0
Corporate,125.0
Corporate,500.0
Corporate,500.0
Corporate,500.0
Corporate,500.0
Corporate,750.0
Corporate,1000.0
Corporate,1000.0
Political Committee,250.0
Political Committee,1000.0
Corporate,5000.0
Union,250.0
Union,1000.0
Union,125.0
Union,5200.0
Union,1000.0
Union,500.0
Union,1000.0
Union,2500.0
Union,5000.0
Union,250.0
Union,500.0
Union,2500.0
Union,5000.0
Union,1000.0
Union,5200.0
Union,500.0
Union,2500.0
Union,2500.0
Union,1000.0
Union,1400.0
Union,2500.0
Union,-200.0
Union,2500.0
Union,1000.0
Union,1000.0
Union,2500.0
Union,2500.0
Union,5000.0
Union,2500.0
Union,5000.0
Union,2500.0
Union,5000.0
Union,1400.0
Union,500.0
Union,1000.0
Union,2500.0
Union,1000.0
Union,1000.0
Union,-2500.0
Union,-1000.0
Union,1000.0
Union,1000.0
Union,2500.0
Union,2500.0
Union,2500.0
Union,10000.0
Union,-2500.0
Union,-1000.0
Union,500.0
Union,1000.0
Union,1500.0
Union,5200.0
Candidate,3500.0
Candidate,500.0
Candidate,500.0
Candidate,250.0
Candidate,250.0
Candidate,500.0
Candidate,1250.0
Other,-3600.0
Other,10000.0
Other,10000.0
Other,1000.0
Unknown,1000.0
Unknown,2500.0
Unknown,500.0
Unknown,1500.0
Individual - Small,500.0
Individual - Small,750.0
Individual - Small,125.0
Individual - Small,500.0
Individual - Small,50.0
Individual - Small,250.0
Individual - Small,50.0
Individual - Small,120.0
Individual - Small,125.0
Individual - Small,2500.0
Individual - Small,125.0
Individual - Small,250.0
Individual - Small,250.0
Individual - Small,500.0
Individual - Small,2500.0
Individual - Small,300.0
Individual - Small,250.0
Individual - Small,250.0
Individual - Small,150.0
Individual - Small,150.0
Individual - Small,250.0
Individual - Large,5200.0
Individual - Small,2500.0
Individual - Small,2500.0
Individual - Small,375.0
Individual - Small,2000.0
Individual - Small,2000.0
Individual - Small,250.0
Individual - Small,2080.0
Individual - Small,250.0
Individual - Large,5000.0
Individual - Large,5000.0
Individual - Large,5000.0
Individual - Large,5000.0
Individual - Large,5000.0
Individual - Small,2500.0
Individual - Small,500.0
Individual - Small,1000.0
Individual - Small,300.0
Individual - Small,300.0
Individual - Small,300.0
Individual - Small,1000.0
Individual - Small,500.0
Individual - Small,2500.0
Individual - Small,250.0
Individual - Small,1000.0
Individual - Small,125.0
Individual - Large,5000.0
Individual - Small,500.0
Individual - Small,250.0
Individual - Small,500.0
Individual - Large,4600.0
Individual - Small,250.0
Individual - Small,500.0
Individual - Small,250.0
Individual - Small,250.0
Individual - Small,250.0
Individual - Small,500.0
Individual - Small,125.0
Individual - Small,1000.0
Individual - Small,500.0
Individual - Small,500.0
Individual - Small,500.0
Individual - Small,500.0
Individual - Small,400.0
Individual - Small,500.0
Individual - Small,300.0
Individual - Small,500.0
Individual - Small,250.0
Individual - Small,125.0
Individual - Small,150.0
Individual - Small,500.0
Individual - Large,5000.0
Individual - Small,1000.0
Individual - Small,1000.0
Individual - Small,250.0
Individual - Small,1000.0
Individual - Small,2500.0
Individual - Small,-2500.0
Individual - Large,5000.0
Individual - Large,5000.0
Individual - Small,400.0
Individual - Small,2500.0
Individual - Small,1000.0
Individual - Small,250.0
Individual - Small,1500.0
Individual - Small,250.0
Individual - Small,125.0
Individual - Small,1000.0
Individual - Small,500.0
Individual - Small,500.0
