ContributorGroup,ContributionAmount
Corporate,250.0
Corporate,250.0
Corporate,1000.0
Corporate,5000.0
Corporate,5200.0
Corporate,5200.0
Corporate,250.0
Corporate,1250.0
Corporate,3000.0
Corporate,300.0
Corporate,500.0
Corporate,500.0
Corporate,500.0
Corporate,1000.0
Corporate,5000.0
Corporate,5000.0
Corporate,250.0
Corporate,500.0
Corporate,500.0
Corporate,500.0
Political Committee,250.0
Political Committee,500.0
Union,5000.0
Union,5000.0
Union,500.0
Union,5000.0
Union,2500.0
Union,500.0
Candidate,1000.0
Candidate,1000.0
Candidate,250.0
Candidate,500.0
Unknown,1500.0
Unknown,-500.0
Unknown,500.0
Individual - Small,3500.0
Individual - Small,300.0
Individual - Small,500.0
Individual - Small,250.0
Individual - Small,250.0
Individual - Small,100.0
Individual - Small,250.0
Individual - Large,5000.0
Individual - Large,5200.0
Individual - Small,250.0
Individual - Large,5200.0
Individual - Small,300.0
Individual - Small,750.0
Individual - Small,1000.0
Individual - Small,500.0
Individual - Small,250.0
Individual - Small,250.0
Individual - Small,150.0
Individual - Small,100.0
Individual - Small,250.0
Individual - Small,250.0
Individual - Small,250.0
Individual - Small,250.0
Individual - Small,50.0
Individual - Small,50.0
Individual - Small,500.0
Individual - Small,50.0
Individual - Small,250.0
Individual - Small,500.0
Individual - Small,500.0
Individual - Small,250.0
Individual - Small,1500.0
Individual - Small,250.0
Individual - Small,250.0
Individual - Small,250.0
Individual - Small,250.0
Individual - Small,250.0
Individual - Small,150.0
Individual - Small,250.0
Individual - Small,2500.0
Individual - Small,300.0
Individual - Small,300.0
Individual - Small,250.0
Individual - Small,250.0
Individual - Small,250.0
Individual - Small,300.0
Individual - Small,3000.0
Individual - Small,500.0
Individual - Small,500.0
Individual - Small,500.0
Individual - Large,5000.0
Individual - Small,250.0
Individual - Small,50.0
Individual - Small,50.0
Individual - Small,50.0
Individual - Small,50.0
Individual - Small,500.0
Individual - Small,250.0
Individual - Small,250.0
Individual - Small,250.0
Individual - Small,1250.0
Individual - Small,2500.0
Individual - Small,250.0
Individual - Small,500.0
Individual - Small,500.0
Individual - Small,250.0
Individual - Small,125.0
Individual - Small,1875.0
Individual - Small,1875.0
Individual - Small,150.0
Individual - Small,1500.0
Individual - Small,1000.0
Individual - Small,1000.0
Individual - Small,250.0
Individual - Small,250.0
Individual - Small,100.0
Individual - Small,250.0
Individual - Small,250.0
Individual - Small,300.0
Individual - Small,400.0
Individual - Small,500.0
Individual - Small,250.0
Individual - Small,250.0
Individual - Small,1000.0
Individual - Small,1250.0
Individual - Small,250.0
Individual - Small,250.0
Individual - Small,125.0
Individual - Small,125.0
Individual - Small,1500.0
Individual - Small,500.0
Individual - Small,250.0
Individual - Small,1670.0
Individual - Small,1670.0
Individual - Small,1670.0
Individual - Small,500.0
Individual - Small,125.0
Individual - Small,500.0
Individual - Small,2500.0
Individual - Small,2000.0
Individual - Small,50.0
Individual - Small,500.0
Individual - Small,250.0
Individual - Small,250.0
Individual - Small,500.0
Individual - Small,500.0
Individual - Small,500.0
Individual - Small,350.0
Individual - Small,500.0
Individual - Small,2400.0
Individual - Small,250.0
Individual - Small,250.0
Individual - Small,400.0
Individual - Small,375.0
Individual - Small,1500.0
Individual - Small,125.0
Individual - Small,100.0
Individual - Small,150.0
Individual - Small,250.0
Individual - Small,875.0
Individual - Small,250.0
Individual - Small,300.0
Individual - Small,250.0
Individual - Large,5200.0
Individual - Small,250.0
Individual - Small,100.0
Individual - Small,250.0
Individual - Small,250.0
Individual - Small,1500.0
Individual - Small,1000.0
Individual - Small,500.0
Individual - Small,300.0
Individual - Small,500.0
Individual - Small,300.0
Individual - Small,1000.0
Individual - Small,1000.0
Individual - Small,50.0
Individual - Small,500.0
Individual - Small,1000.0
Individual - Small,300.0
Individual - Small,300.0
Individual - Small,100.0
Individual - Large,5200.0
Individual - Small,1000.0
Individual - Small,200.0
Individual - Small,3000.0
Individual - Small,500.0
Individual - Large,5200.0
Individual - Small,150.0
Individual - Small,165.0
Individual - Small,125.0
Individual - Small,25.0
Individual - Small,25.0
Individual - Small,1500.0
Individual - Small,625.0
Individual - Small,250.0
Individual - Small,500.0
Individual - Small,250.0
Individual - Small,250.0
Individual - Small,125.0
Individual - Small,500.0
Individual - Small,250.0
Individual - Small,1000.0
Individual - Small,250.0
Individual - Small,250.0
Individual - Small,1500.0
Individual - Small,2000.0
Individual - Small,500.0
Individual - Small,500.0
Individual - Small,250.0
Individual - Large,5000.0
Individual - Small,250.0
Individual - Small,500.0
Individual - Small,250.0
Individual - Small,500.0
Individual - Small,250.0
Individual - Small,250.0
Individual - Small,500.0
Individual - Small,250.0
Individual - Small,201.0
Individual - Small,250.0
Individual - Small,500.0
Individual - Small,250.0
Individual - Small,50.0
Individual - Small,150.0
Individual - Small,500.0
Individual - Small,150.0
Individual - Small,500.0
Individual - Small,250.0
Individual - Small,1250.0
Individual - Small,250.0
Individual - Small,1000.0
Individual - Small,1000.0
Individual - Small,250.0
Individual - Small,250.0
Individual - Small,950.0
Individual - Small,250.0
Individual - Small,250.0
Individual - Small,250.0
Individual - Small,250.0
Individual - Small,500.0
Individual - Small,150.0
Individual - Small,100.0
Individual - Small,3000.0
Individual - Small,2000.0
Individual - Small,500.0
Individual - Small,1000.0
Individual - Small,250.0
Individual - Small,250.0
Individual - Small,100.0
Individual - Small,625.0
Individual - Small,125.0
Individual - Small,750.0
Individual - Small,250.0
Individual - Small,250.0
Individual - Small,125.0
Individual - Small,250.0
Individual - Small,150.0
Individual - Small,200.0
Individual - Small,200.0
Individual - Small,250.0
Individual - Small,50.0
Individual - Small,50.0
Individual - Small,500.0
Individual - Small,250.0
Individual - Small,1000.0
Individual - Small,250.0
Individual - Small,250.0
Individual - Small,500.0
Individual - Small,500.0
Individual - Small,250.0
Individual - Small,250.0
Individual - Small,100.0
Individual - Small,100.0
Individual - Small,500.0
Individual - Small,250.0
Individual - Small,500.0
Individual - Small,250.0
Individual - Small,250.0
Individual - Large,5000.0
Individual - Small,250.0
Individual - Small,250.0
Individual - Small,250.0
Individual - Small,500.0
Individual - Small,250.0
Individual - Small,250.0
Individual - Small,250.0
Individual - Small,250.0
Individual - Small,500.0
Individual - Small,250.0
Individual - Small,250.0
Individual - Small,1500.0
Individual - Small,1000.0
Individual - Small,500.0
Individual - Small,1000.0
Individual - Small,500.0
Individual - Small,500.0
Individual - Small,1000.0
Individual - Small,100.0
Individual - Small,100.0
Individual - Small,150.0
Individual - Small,250.0
Individual - Small,125.0
Individual - Small,300.0
Individual - Small,250.0
Individual - Small,150.0
Individual - Small,250.0
Individual - Small,100.0
Individual - Small,100.0
Individual - Small,50.0
Individual - Small,100.0
Individual - Small,50.0
Individual - Small,50.0
Individual - Small,50.0
Individual - Small,50.0
Individual - Small,50.0
Individual - Small,50.0
Individual - Small,500.0
Individual - Small,125.0
Individual - Small,700.0
Individual - Small,250.0
Individual - Small,100.0
Individual - Small,100.0
Individual - Small,125.0
Individual - Small,125.0
Individual - Small,125.0
Individual - Small,125.0
Individual - Small,125.0
Individual - Small,125.0
Individual - Small,100.0
Individual - Small,125.0
Individual - Small,125.0
Individual - Small,125.0
Individual - Small,125.0
Individual - Small,125.0
Individual - Small,100.0
Individual - Small,125.0
Individual - Small,125.0
Individual - Small,125.0
Individual - Small,125.0
Individual - Small,2000.0
Individual - Small,1250.0
Individual - Small,1000.0
Individual - Small,1200.0
Individual - Small,1300.0
Individual - Small,500.0
Individual - Small,1000.0
Individual - Small,1000.0
Individual - Small,1500.0
Individual - Small,250.0
Individual - Small,250.0
Individual - Small,500.0
Individual - Small,250.0
Individual - Small,250.0
Individual - Small,500.0
Individual - Small,1000.0
Individual - Small,250.0
Individual - Small,250.0
Individual - Small,25.0
Individual - Small,150.0
P2P Individual,715675.0
P2P Individual,209150.0
P2P Corporate,42850.0
P2P Individual,15740.0
P2P Individual,15740.0
P2P Corporate,1675.0
